id,fechaReporte,tipoIncidente,gravedad,AreaRecreativaID
60,2020-08-30,Daño estructural,Alta,5056315
61,2019-11-03,Robo,Baja,4986445
62,2023-06-09,Robo,Critica,3566363
63,2022-05-15,Vandalismo,Media,18527
64,2020-09-04,Caida,Media,18548
65,2023-01-23,Robo,Critica,16986
66,2024-01-14,Daño estructural,Baja,16914
67,2021-09-12,Daño estructural,Media,16830
68,2020-02-28,Daño estructural,Media,7862164
69,2021-04-29,Daño estructural,Critica,16669
70,2020-01-06,Vandalismo,Critica,7838817
71,2022-03-18,Daño estructural,Alta,17710
72,2024-03-18,Daño estructural,Critica,7107695
73,2021-10-01,Daño estructural,Alta,18003
74,2024-03-05,Robo,Alta,17977
75,2024-10-01,Robo,Critica,18524
76,2024-02-22,Accidente,Media,18468
77,2019-07-11,Vandalismo,Media,18085
78,2024-09-05,Daño estructural,Baja,17087
79,2022-05-03,Robo,Critica,17304
80,2022-11-20,Accidente,Media,17905
81,2022-05-05,Robo,Baja,5246196
82,2022-07-29,Caida,Critica,4986142
83,2020-06-11,Robo,Critica,18220
84,2019-01-11,Robo,Baja,17739
85,2020-06-22,Robo,Alta,52116
86,2022-09-08,Daño estructural,Baja,17900
87,2021-04-01,Accidente,Alta,8909095
88,2024-06-17,Caida,Alta,16780
89,2020-09-14,Robo,Baja,18363
90,2020-01-29,Accidente,Critica,18292
91,2021-02-10,Caida,Critica,7802438
92,2022-12-21,Daño estructural,Alta,18370
93,2022-10-12,Vandalismo,Critica,7247843
94,2021-10-15,Accidente,Critica,17872
95,2023-10-13,Daño estructural,Media,17927
96,2022-09-19,Accidente,Critica,17854
97,2020-12-17,Robo,Critica,5237131
98,2022-05-28,Caida,Alta,52073
99,2022-10-05,Accidente,Critica,7125612
100,2021-06-30,Robo,Media,17909
101,2020-07-27,Robo,Media,16831
102,2020-07-19,Caida,Baja,18234
103,2024-08-23,Caida,Critica,4988273
104,2023-01-01,Caida,Alta,9187536
105,2024-08-23,Robo,Media,17911
106,2020-03-12,Caida,Media,17686
107,2021-07-03,Accidente,Baja,52217
108,2020-03-20,Caida,Alta,5175231
109,2021-10-24,Accidente,Baja,17597
110,2024-09-18,Robo,Baja,18470
111,2021-03-16,Vandalismo,Baja,52111
112,2023-04-29,Caida,Critica,17954
113,2021-09-14,Vandalismo,Media,18295
114,2022-07-30,Caida,Critica,16825
115,2021-12-23,Caida,Alta,17477
116,2021-10-21,Robo,Baja,7126577
117,2022-04-24,Caida,Media,17109
118,2020-01-18,Vandalismo,Media,17915
119,2023-01-01,Daño estructural,Critica,16911
120,2021-08-19,Caida,Alta,16811
121,2021-09-16,Accidente,Baja,17413
122,2019-12-19,Daño estructural,Media,16853
123,2020-01-30,Accidente,Media,16718
124,2024-07-09,Vandalismo,Media,16822
125,2021-07-20,Caida,Media,17144
126,2020-01-01,Caida,Alta,52192
127,2022-09-30,Caida,Baja,17701
128,2023-06-30,Robo,Baja,16967
129,2022-02-06,Robo,Media,17847
130,2019-12-03,Robo,Critica,18269
131,2022-07-03,Robo,Critica,5213818
132,2022-12-23,Daño estructural,Media,18007
133,2022-03-13,Caida,Alta,18036
134,2022-04-11,Vandalismo,Media,52147
135,2022-04-06,Caida,Media,17919
136,2022-03-20,Accidente,Alta,17352
137,2020-09-29,Caida,Alta,17937
138,2021-10-04,Daño estructural,Alta,8799550
139,2023-08-25,Accidente,Alta,18566
140,2021-09-06,Daño estructural,Baja,18267
141,2022-12-02,Vandalismo,Baja,18096
142,2024-07-25,Daño estructural,Alta,17816
143,2022-08-06,Accidente,Media,17969
144,2021-04-30,Accidente,Alta,17424
145,2021-11-05,Caida,Baja,18571
146,2022-05-26,Caida,Media,18222
147,2022-12-29,Vandalismo,Alta,5246180
148,2020-06-28,Robo,Baja,17824
149,2021-08-01,Caida,Baja,16896
150,2024-01-10,Accidente,Alta,17087
151,2021-12-09,Vandalismo,Baja,18204
152,2022-09-13,Daño estructural,Baja,17339
153,2023-06-23,Vandalismo,Baja,17029
154,2024-02-26,Daño estructural,Alta,16672
155,2023-08-16,Accidente,Critica,17826
156,2021-06-20,Caida,Alta,17012
157,2022-11-11,Vandalismo,Baja,18630
158,2020-11-13,Vandalismo,Media,3573057
159,2021-01-02,Caida,Alta,5231441
160,2019-10-29,Robo,Alta,16771
161,2023-04-24,Daño estructural,Media,18437
162,2023-01-11,Caida,Critica,5211393
163,2024-06-24,Vandalismo,Baja,17112
164,2024-06-14,Accidente,Media,17583
165,2022-08-24,Robo,Baja,18315
166,2020-07-13,Accidente,Media,17344
167,2020-05-15,Vandalismo,Critica,17000
168,2022-07-01,Daño estructural,Baja,18433
169,2021-11-24,Caida,Critica,18344
170,2024-09-15,Accidente,Baja,18282
171,2023-01-07,Robo,Alta,52209
172,2021-09-13,Vandalismo,Critica,52177
173,2024-06-25,Accidente,Alta,5237137
174,2022-10-26,Robo,Baja,5219919
175,2024-02-17,Daño estructural,Alta,5010682
176,2021-10-16,Daño estructural,Alta,18176
177,2024-09-13,Caida,Alta,17652
178,2024-06-06,Daño estructural,Alta,451542
179,2023-10-18,Vandalismo,Baja,451569
180,2024-09-26,Vandalismo,Critica,18263
181,2023-02-23,Robo,Media,18506
182,2022-08-14,Accidente,Baja,17159
183,2023-11-17,Caida,Media,18468
184,2021-12-25,Robo,Baja,451569
185,2021-09-28,Caida,Baja,18247
186,2024-08-27,Accidente,Alta,17265
187,2024-05-28,Vandalismo,Critica,5220259
188,2021-11-04,Vandalismo,Media,17557
189,2024-09-23,Caida,Baja,18595
190,2022-10-29,Caida,Alta,17211
191,2020-08-24,Daño estructural,Alta,17016
192,2020-12-28,Daño estructural,Media,18634
193,2024-08-12,Accidente,Critica,16842
194,2022-11-28,Vandalismo,Baja,3568300
195,2024-02-03,Vandalismo,Critica,5237118
196,2021-08-06,Robo,Critica,17420
197,2023-12-03,Robo,Baja,17900
198,2023-05-10,Robo,Baja,16943
199,2024-07-30,Caida,Alta,16821
200,2023-01-29,Caida,Baja,3573048
201,2020-06-05,Daño estructural,Critica,18351
202,2021-12-06,Robo,Baja,4984713
203,2022-02-15,Vandalismo,Critica,17779
204,2020-12-16,Robo,Alta,16687
205,2022-07-25,Caida,Alta,17939
206,2021-12-30,Robo,Baja,52176
207,2023-07-27,Robo,Critica,17036
208,2022-08-20,Daño estructural,Baja,17844
209,2024-09-10,Caida,Alta,17564
210,2021-03-22,Vandalismo,Media,17547
211,2022-12-19,Daño estructural,Media,17286
212,2020-11-02,Accidente,Media,18073
213,2024-08-15,Daño estructural,Baja,18378
214,2024-06-13,Robo,Alta,18307
215,2021-05-30,Vandalismo,Critica,18420
216,2021-08-04,Accidente,Alta,461342
217,2022-11-01,Daño estructural,Baja,18379
218,2020-10-19,Daño estructural,Critica,8785368
219,2023-05-17,Vandalismo,Alta,5240288
220,2024-03-13,Caida,Baja,5175231
221,2024-03-04,Accidente,Media,17924
222,2021-01-05,Vandalismo,Baja,16854
223,2021-03-06,Accidente,Critica,18102
224,2020-02-12,Vandalismo,Media,18339
225,2024-08-20,Vandalismo,Media,18484
226,2022-09-15,Robo,Alta,7107699
227,2022-08-09,Daño estructural,Alta,17219
228,2024-03-15,Robo,Alta,17722
229,2024-03-22,Robo,Media,16774
230,2024-07-20,Daño estructural,Media,17201
231,2022-09-04,Caida,Media,18614
232,2024-06-09,Caida,Baja,5653914
233,2021-02-11,Robo,Baja,3568959
234,2024-04-28,Daño estructural,Media,8799552
235,2020-11-20,Daño estructural,Baja,17283
236,2022-09-09,Accidente,Baja,16896
237,2020-04-06,Vandalismo,Alta,17599
238,2024-03-03,Vandalismo,Alta,17409
239,2020-05-16,Caida,Critica,17822
240,2020-06-07,Accidente,Critica,17362
241,2021-09-21,Robo,Baja,18173
242,2024-08-05,Vandalismo,Media,9046339
243,2024-07-27,Vandalismo,Media,16761
244,2020-06-05,Accidente,Baja,3568711
245,2023-09-17,Robo,Media,17721
246,2024-04-06,Robo,Baja,18618
247,2022-06-19,Robo,Critica,18616
248,2024-04-17,Accidente,Baja,16820
249,2021-07-16,Accidente,Critica,17514
250,2021-03-02,Vandalismo,Critica,17093
251,2020-01-20,Accidente,Critica,3531279
252,2022-07-28,Accidente,Alta,8909088
253,2023-02-25,Robo,Alta,17947
254,2021-04-03,Accidente,Alta,18544
255,2023-05-25,Robo,Alta,16964
256,2024-10-01,Accidente,Media,17451
257,2022-04-19,Daño estructural,Baja,3568168
258,2023-01-30,Daño estructural,Media,17503
259,2020-08-13,Accidente,Critica,17284
260,2022-12-12,Daño estructural,Critica,7126585
261,2024-09-28,Accidente,Critica,18457
262,2020-04-28,Vandalismo,Critica,17386
263,2023-01-11,Robo,Media,17987
264,2024-01-21,Accidente,Critica,18129
265,2019-11-17,Daño estructural,Baja,17625
266,2021-03-13,Vandalismo,Baja,16863
267,2022-07-02,Vandalismo,Alta,17593
268,2022-09-04,Vandalismo,Alta,3568169
269,2023-11-05,Caida,Baja,52211
270,2023-10-25,Accidente,Baja,16872
271,2020-04-09,Robo,Critica,5219934
272,2023-03-20,Caida,Baja,17576
273,2022-02-06,Caida,Baja,16762
274,2021-12-11,Vandalismo,Baja,17091
275,2020-02-09,Vandalismo,Alta,18588
276,2024-09-23,Vandalismo,Alta,16834
277,2022-10-30,Daño estructural,Media,17997
278,2020-12-16,Caida,Alta,17342
279,2024-02-13,Robo,Baja,5237112
280,2020-06-06,Accidente,Alta,5133174
281,2022-10-09,Robo,Baja,18190
282,2022-09-27,Accidente,Media,17551
283,2022-07-14,Caida,Media,18560
284,2023-12-05,Accidente,Critica,18159
285,2022-06-17,Robo,Baja,8799632
286,2021-02-20,Caida,Media,5071674
287,2020-06-28,Daño estructural,Media,17985
288,2022-03-12,Robo,Media,18091
289,2024-10-09,Daño estructural,Critica,52209
290,2020-11-18,Caida,Baja,52225
291,2022-11-15,Vandalismo,Baja,17065
292,2020-05-15,Daño estructural,Media,17412
293,2023-11-04,Vandalismo,Media,17022
294,2024-03-18,Caida,Critica,17464
295,2023-05-05,Daño estructural,Alta,17092
296,2020-04-05,Vandalismo,Alta,52214
297,2023-04-06,Daño estructural,Critica,17668
298,2019-12-30,Robo,Media,18175
299,2021-09-07,Daño estructural,Critica,16696
300,2020-08-04,Daño estructural,Media,17801
301,2023-08-05,Daño estructural,Critica,17542
302,2022-05-03,Vandalismo,Media,9049653
303,2020-09-21,Vandalismo,Media,17894
304,2024-09-08,Daño estructural,Media,3568279
305,2020-05-20,Vandalismo,Critica,18438
306,2020-07-29,Caida,Media,18057
307,2023-11-30,Daño estructural,Alta,52116
308,2022-08-07,Daño estructural,Baja,9438309
309,2020-05-04,Robo,Baja,3531279
310,2023-05-12,Daño estructural,Baja,16907
311,2020-02-25,Daño estructural,Baja,18323
312,2020-11-29,Vandalismo,Media,18489
313,2020-02-10,Accidente,Baja,16855
314,2020-05-09,Daño estructural,Alta,7835585
315,2020-05-14,Vandalismo,Baja,3573466
316,2019-11-12,Accidente,Media,17009
317,2023-01-03,Robo,Alta,3990963
318,2020-12-03,Vandalismo,Baja,52193
319,2021-03-08,Daño estructural,Critica,17396
320,2020-03-19,Robo,Critica,17699
321,2021-02-10,Vandalismo,Media,17857
322,2023-07-29,Daño estructural,Alta,7872643
323,2023-07-20,Vandalismo,Critica,7165942
324,2020-10-05,Daño estructural,Alta,4794560
325,2023-12-22,Robo,Media,17920
326,2020-05-18,Daño estructural,Baja,3569191
327,2020-09-14,Robo,Media,17165
328,2024-11-09,Vandalismo,Critica,18156
329,2022-12-29,Daño estructural,Baja,17137
330,2020-12-10,Accidente,Media,3990960
331,2019-10-17,Caida,Critica,9049643
332,2020-12-20,Accidente,Media,17221
333,2024-07-02,Caida,Media,17759
334,2023-03-26,Accidente,Media,16920
335,2024-04-22,Daño estructural,Media,52090
336,2022-02-13,Caida,Media,18231
337,2024-01-23,Accidente,Baja,3531283
338,2020-12-05,Vandalismo,Critica,17123
339,2023-09-27,Caida,Media,52107
340,2023-02-17,Daño estructural,Media,52144
341,2021-12-23,Daño estructural,Critica,16916
342,2023-08-19,Vandalismo,Critica,17400
343,2023-08-18,Caida,Alta,17741
344,2020-02-22,Vandalismo,Baja,17723
345,2022-03-10,Caida,Alta,17483
346,2023-12-14,Vandalismo,Media,17215
347,2022-01-08,Caida,Critica,17794
348,2020-06-12,Robo,Alta,17811
349,2021-05-29,Caida,Critica,5654051
350,2020-11-26,Vandalismo,Critica,18536
351,2023-07-12,Vandalismo,Critica,4749897
352,2021-06-17,Caida,Media,5211393
353,2022-02-10,Vandalismo,Critica,4730800
354,2023-11-03,Accidente,Media,8907324
355,2021-12-12,Daño estructural,Media,18418
356,2021-02-27,Accidente,Alta,16678
357,2021-08-25,Daño estructural,Media,18554
358,2023-11-05,Caida,Media,17383
359,2021-11-03,Robo,Media,18323
360,2022-12-04,Daño estructural,Media,18239
361,2020-02-20,Robo,Alta,4792795
362,2023-11-30,Caida,Critica,8799941
363,2021-07-03,Daño estructural,Critica,16812
364,2022-07-17,Accidente,Baja,16730
365,2021-10-06,Accidente,Alta,17051
366,2024-04-25,Robo,Alta,17134
367,2020-02-23,Vandalismo,Baja,17208
368,2022-07-15,Accidente,Alta,18198
369,2020-11-29,Accidente,Media,18152
370,2024-06-29,Caida,Baja,18135
371,2021-03-22,Accidente,Critica,17292
372,2020-08-19,Daño estructural,Alta,17859
373,2023-12-25,Robo,Critica,18176
374,2021-05-05,Robo,Critica,18098
375,2024-02-25,Robo,Media,7247916
376,2023-05-07,Vandalismo,Media,17004
377,2023-01-31,Accidente,Alta,18205
378,2022-04-02,Vandalismo,Critica,17416
379,2022-08-30,Daño estructural,Critica,5653914
380,2023-02-06,Vandalismo,Baja,18268
381,2022-09-01,Accidente,Baja,17644
382,2020-06-01,Accidente,Baja,4745667
383,2023-10-01,Robo,Media,16898
384,2020-06-25,Robo,Critica,18099
385,2021-07-15,Caida,Alta,17570
386,2024-03-06,Caida,Media,52091
387,2024-01-06,Daño estructural,Media,18598
388,2024-06-16,Caida,Alta,17091
389,2020-04-08,Caida,Critica,8785368
390,2020-08-22,Vandalismo,Critica,17073
391,2022-08-18,Caida,Baja,16975
392,2020-07-19,Robo,Critica,5071591
393,2020-08-29,Robo,Baja,16832
394,2022-08-22,Daño estructural,Alta,5653899
395,2024-10-01,Daño estructural,Alta,52156
396,2024-02-24,Caida,Media,18243
397,2021-07-10,Daño estructural,Baja,5237139
398,2019-11-20,Daño estructural,Baja,7144128
399,2020-06-07,Accidente,Critica,17724
400,2023-08-06,Vandalismo,Media,5653877
401,2024-03-06,Robo,Critica,17500
402,2020-01-02,Accidente,Baja,17848
403,2024-03-25,Accidente,Alta,17000
404,2022-02-24,Vandalismo,Alta,17051
405,2021-10-07,Caida,Critica,52183
406,2019-11-02,Robo,Media,9424150
407,2024-08-05,Daño estructural,Alta,17013
408,2020-04-06,Robo,Alta,17614
409,2022-02-19,Vandalismo,Alta,17922
410,2022-09-18,Caida,Alta,18282
411,2021-02-21,Vandalismo,Baja,17925
412,2021-07-15,Accidente,Media,5237133
413,2021-11-10,Daño estructural,Critica,7802438
414,2020-06-23,Accidente,Critica,16813
415,2022-03-27,Accidente,Media,17952
416,2023-05-26,Daño estructural,Baja,17974
417,2024-03-29,Vandalismo,Critica,17856
418,2021-06-11,Daño estructural,Baja,17037
419,2024-07-19,Daño estructural,Critica,17948
420,2019-11-09,Robo,Critica,18443
421,2021-09-22,Daño estructural,Baja,18599
422,2023-08-05,Caida,Critica,17650
423,2021-04-04,Daño estructural,Alta,17414
424,2023-07-07,Caida,Critica,18462
425,2024-02-04,Robo,Critica,16730
426,2020-08-13,Caida,Media,18232
427,2024-09-01,Robo,Alta,18218
428,2022-02-26,Robo,Baja,17209
429,2021-03-14,Vandalismo,Critica,17468
430,2019-10-21,Caida,Critica,17111
431,2023-12-09,Robo,Critica,18564
432,2022-09-08,Vandalismo,Baja,17050
433,2021-06-10,Daño estructural,Media,17564
434,2024-03-02,Caida,Alta,17690
435,2024-04-19,Caida,Alta,17470
436,2020-06-09,Accidente,Critica,17340
437,2021-06-15,Accidente,Media,17272
438,2024-03-02,Caida,Critica,18417
439,2024-05-11,Accidente,Alta,16711
440,2020-11-19,Caida,Critica,16832
441,2021-02-09,Daño estructural,Baja,17933
442,2020-09-13,Vandalismo,Alta,17014
443,2022-05-12,Robo,Baja,18043
444,2020-11-16,Accidente,Alta,52197
445,2022-05-27,Robo,Baja,17678
446,2024-06-22,Vandalismo,Baja,6819621
447,2020-10-15,Accidente,Media,5237123
448,2021-01-12,Robo,Alta,16677
449,2024-08-15,Daño estructural,Media,3960567
450,2022-09-22,Daño estructural,Media,17946
451,2022-01-22,Accidente,Baja,17100
452,2022-08-25,Accidente,Baja,3991194
453,2024-07-03,Daño estructural,Critica,17113
454,2022-12-08,Vandalismo,Critica,16870
455,2024-05-01,Caida,Alta,18062
456,2024-03-13,Daño estructural,Media,451321
457,2020-12-26,Caida,Media,4737941
458,2022-05-10,Caida,Baja,18291
459,2022-02-16,Caida,Baja,18009
460,2021-01-24,Caida,Critica,17421
461,2023-09-01,Vandalismo,Critica,17258
462,2021-08-01,Vandalismo,Alta,17674
463,2022-10-15,Daño estructural,Media,5240286
464,2021-08-21,Caida,Alta,18325
465,2022-07-12,Daño estructural,Alta,17193
466,2024-02-01,Robo,Baja,4987160
467,2023-05-13,Vandalismo,Baja,17589
468,2022-11-09,Caida,Baja,17997
469,2021-02-27,Caida,Media,18203
470,2023-05-31,Daño estructural,Critica,17561
471,2020-12-25,Caida,Baja,17949
472,2020-08-31,Daño estructural,Alta,8799553
473,2022-03-07,Caida,Baja,16998
474,2023-09-10,Robo,Alta,18598
475,2020-07-29,Daño estructural,Critica,17977
476,2022-03-30,Caida,Baja,5166868
477,2020-02-25,Caida,Baja,17141
478,2021-09-27,Robo,Alta,17688
479,2023-10-28,Vandalismo,Critica,17491
480,2024-02-08,Caida,Media,17007
481,2021-02-02,Vandalismo,Critica,18557
482,2022-01-31,Caida,Media,52123
483,2022-12-14,Caida,Baja,8941726
484,2022-07-20,Caida,Media,18527
485,2020-07-27,Robo,Media,17037
486,2020-07-04,Accidente,Alta,18168
487,2020-06-30,Robo,Baja,4737820
488,2021-08-29,Caida,Alta,5241176
489,2020-04-14,Caida,Critica,5653960
490,2022-09-16,Daño estructural,Critica,16998
491,2024-09-21,Accidente,Alta,18056
492,2024-04-28,Daño estructural,Baja,461343
493,2021-08-16,Caida,Media,17444
494,2022-03-13,Caida,Media,17218
495,2023-09-30,Robo,Critica,7177654
496,2023-07-08,Accidente,Alta,18631
497,2022-11-13,Accidente,Critica,17667
498,2021-02-18,Caida,Media,16859
499,2020-04-10,Daño estructural,Baja,17257
500,2022-05-05,Vandalismo,Baja,18184
501,2020-04-09,Daño estructural,Media,5219935
502,2020-07-21,Vandalismo,Baja,5220259
503,2023-09-12,Accidente,Critica,5240310
504,2022-11-13,Caida,Media,18305
505,2024-05-14,Caida,Media,17099
506,2021-08-17,Robo,Critica,16747
507,2020-06-04,Daño estructural,Baja,16731
508,2020-09-26,Daño estructural,Media,17916
509,2022-04-14,Robo,Media,3573055
510,2021-10-27,Vandalismo,Alta,17916
511,2020-10-10,Accidente,Critica,18051
512,2021-08-22,Vandalismo,Media,17991
513,2021-01-26,Vandalismo,Media,17501
514,2024-03-12,Daño estructural,Critica,18133
515,2020-01-12,Robo,Media,17421
516,2021-02-10,Robo,Media,52048
517,2020-07-13,Robo,Baja,5218564
518,2024-02-26,Caida,Media,17849
519,2023-09-22,Robo,Baja,18376
520,2023-04-07,Daño estructural,Alta,18141
521,2024-03-29,Daño estructural,Critica,16727
522,2021-05-17,Caida,Baja,17768
523,2019-11-11,Accidente,Media,5653890
524,2024-06-14,Accidente,Media,18217
525,2020-08-10,Robo,Media,5211393
526,2023-09-08,Robo,Media,52093
527,2022-08-06,Daño estructural,Baja,17361
528,2023-05-11,Accidente,Critica,16695
529,2021-12-15,Vandalismo,Alta,18451
530,2022-10-11,Vandalismo,Alta,3573058
531,2023-01-16,Robo,Media,5892353
532,2021-03-07,Robo,Media,5211511
533,2020-03-20,Caida,Baja,18391
534,2020-02-25,Vandalismo,Media,3573330
535,2021-02-13,Daño estructural,Alta,17412
536,2024-11-03,Daño estructural,Baja,16741
537,2021-07-30,Daño estructural,Media,16723
538,2020-02-01,Vandalismo,Alta,17075
539,2022-11-04,Daño estructural,Media,17299
540,2024-07-17,Caida,Baja,17993
541,2020-02-29,Robo,Baja,17044
542,2021-07-18,Robo,Media,18138
543,2020-02-13,Daño estructural,Critica,18207
544,2023-05-25,Robo,Critica,52179
545,2024-10-06,Vandalismo,Critica,17334
546,2022-01-24,Daño estructural,Media,18294
547,2024-04-20,Vandalismo,Critica,9397076
548,2021-08-12,Accidente,Media,17607
549,2021-09-01,Accidente,Critica,18316
550,2021-03-27,Caida,Media,17990
551,2020-08-09,Robo,Baja,17310
552,2020-02-04,Accidente,Critica,5219922
553,2023-11-17,Vandalismo,Alta,18582
554,2024-07-15,Caida,Baja,18438
555,2020-09-08,Caida,Media,5237125
556,2021-08-20,Caida,Baja,16679
557,2022-01-29,Robo,Media,18133
558,2021-06-02,Accidente,Alta,18072
559,2024-02-06,Vandalismo,Media,17075
560,2022-08-11,Caida,Critica,17057
561,2020-10-03,Vandalismo,Media,17548
562,2023-01-30,Caida,Media,17254
563,2023-08-07,Caida,Baja,18456
564,2020-08-16,Daño estructural,Alta,5241168
565,2022-10-10,Accidente,Media,8914015
566,2023-09-13,Vandalismo,Baja,5213822
567,2023-02-15,Accidente,Alta,17660
568,2022-02-12,Vandalismo,Critica,16851
569,2023-10-01,Robo,Media,18411
570,2024-03-30,Robo,Critica,18107
571,2021-12-29,Daño estructural,Critica,52186
572,2021-04-14,Daño estructural,Media,6819625
573,2023-08-19,Robo,Critica,17999
574,2023-08-14,Robo,Baja,16997
575,2022-01-03,Accidente,Baja,5109124
576,2020-02-06,Robo,Baja,17611
577,2023-07-15,Accidente,Media,17487
578,2024-06-15,Vandalismo,Media,17923
579,2022-08-24,Vandalismo,Media,18526
580,2020-01-14,Caida,Media,17842
581,2021-07-12,Caida,Media,3991213
582,2020-12-24,Daño estructural,Alta,18056
583,2022-07-20,Daño estructural,Baja,18209
584,2022-05-17,Caida,Media,52044
585,2023-11-21,Accidente,Media,52102
586,2024-05-14,Daño estructural,Critica,17723
587,2024-10-13,Vandalismo,Critica,18004
588,2020-12-08,Caida,Baja,17348
589,2020-11-24,Robo,Baja,8799550
590,2020-03-03,Accidente,Media,16674
591,2022-08-20,Caida,Baja,3568300
592,2022-12-10,Daño estructural,Media,5213822
593,2022-10-13,Vandalismo,Baja,17800
594,2023-09-21,Robo,Alta,17272
595,2022-07-26,Daño estructural,Alta,52070
596,2022-09-02,Caida,Alta,17805
597,2023-10-31,Caida,Media,17354
598,2024-05-17,Accidente,Baja,17965
599,2020-03-10,Vandalismo,Alta,7861611
600,2023-05-05,Daño estructural,Critica,17376
601,2023-03-06,Robo,Baja,18424
602,2020-03-09,Daño estructural,Media,16945
603,2020-01-17,Vandalismo,Alta,52216
604,2023-06-07,Robo,Critica,7902152
605,2020-11-13,Robo,Alta,4983958
606,2022-01-13,Accidente,Alta,18386
607,2020-09-01,Daño estructural,Media,5654018
608,2024-01-25,Caida,Media,18609
609,2020-12-29,Vandalismo,Baja,5240110
610,2023-04-09,Vandalismo,Baja,18091
611,2024-07-01,Accidente,Alta,5237111
612,2020-03-21,Accidente,Alta,5174681
613,2021-06-28,Vandalismo,Media,17400
614,2022-09-26,Accidente,Alta,17016
615,2022-10-05,Daño estructural,Baja,18414
616,2024-08-10,Robo,Baja,17676
617,2023-11-13,Robo,Alta,16848
618,2020-09-13,Robo,Alta,16923
619,2021-04-30,Accidente,Media,18332
620,2024-06-01,Accidente,Alta,18057
621,2020-11-18,Accidente,Critica,5240282
622,2024-07-22,Caida,Baja,17077
623,2020-06-10,Caida,Critica,18496
624,2022-09-06,Robo,Media,18597
625,2021-11-22,Robo,Critica,6819613
626,2024-09-12,Daño estructural,Critica,17339
627,2022-02-10,Vandalismo,Media,17767
628,2023-10-06,Vandalismo,Critica,17461
629,2021-07-21,Daño estructural,Baja,17499
630,2023-07-07,Accidente,Alta,18430
631,2021-01-16,Robo,Critica,18026
632,2021-06-19,Daño estructural,Media,16778
633,2021-08-08,Caida,Alta,17947
634,2024-09-27,Robo,Alta,5241186
635,2021-03-08,Daño estructural,Baja,6819614
636,2023-08-26,Robo,Media,17825
637,2022-03-04,Caida,Media,17667
638,2020-09-06,Vandalismo,Media,18380
639,2022-02-20,Accidente,Baja,18257
640,2023-02-20,Caida,Media,52135
641,2022-09-14,Caida,Alta,17091
642,2024-09-16,Vandalismo,Alta,17839
643,2022-10-07,Daño estructural,Media,4704499
644,2024-01-27,Robo,Critica,52148
645,2024-12-05,Caida,Critica,17515
646,2021-10-23,Robo,Critica,17826
647,2022-03-09,Vandalismo,Baja,18072
648,2024-04-27,Caida,Media,17144
649,2024-03-15,Vandalismo,Baja,5653950
650,2022-06-08,Robo,Critica,5201907
651,2021-06-12,Vandalismo,Baja,17277
652,2021-10-17,Daño estructural,Alta,5237131
653,2020-12-01,Robo,Media,18115
