id,fechaIntervencion,tipoIntervencion,estadoPrevio,estadoPosterior,JuegoID,Tipo,Comentarios
mnt-00033,2024-05-28,emergencia,malo,regular,8928074,preventivo,comentario sobre el mantenimiento 33
mnt-00034,2024-02-03,correctivo,malo,bueno,21749,queja_usuario,comentario sobre el mantenimiento 34
mnt-00035,2024-06-23,correctivo,bueno,bueno,4737873,queja_usuario,comentario sobre el mantenimiento 35
mnt-00036,2024-09-07,correctivo,regular,bueno,35182,preventivo,comentario sobre el mantenimiento 36
mnt-00037,2024-02-08,correctivo,malo,malo,8820183,queja_usuario,comentario sobre el mantenimiento 37
mnt-00038,2024-03-16,preventivo,regular,malo,19562,preventivo,comentario sobre el mantenimiento 38
mnt-00039,2024-05-16,correctivo,regular,malo,32653,preventivo,comentario sobre el mantenimiento 39
mnt-00040,2023-10-29,preventivo,malo,bueno,34142,queja_usuario,comentario sobre el mantenimiento 40
mnt-00041,2024-05-19,emergencia,regular,bueno,3963370,queja_usuario,comentario sobre el mantenimiento 41
mnt-00042,2024-05-09,correctivo,regular,bueno,21442,queja_usuario,comentario sobre el mantenimiento 42
mnt-00043,2024-07-08,correctivo,regular,bueno,6878949,preventivo,comentario sobre el mantenimiento 43
mnt-00044,2024-09-05,preventivo,regular,bueno,59202,preventivo,comentario sobre el mantenimiento 44
mnt-00045,2024-05-20,preventivo,malo,regular,7924749,preventivo,comentario sobre el mantenimiento 45
mnt-00046,2023-11-28,emergencia,bueno,bueno,9289730,preventivo,comentario sobre el mantenimiento 46
mnt-00047,2024-09-04,emergencia,regular,bueno,19866,queja_usuario,comentario sobre el mantenimiento 47
mnt-00048,2024-06-23,correctivo,bueno,regular,9052567,queja_usuario,comentario sobre el mantenimiento 48
mnt-00049,2024-01-31,correctivo,regular,malo,3530673,queja_usuario,comentario sobre el mantenimiento 49
mnt-00050,2024-04-28,preventivo,bueno,malo,59740,preventivo,comentario sobre el mantenimiento 50
mnt-00051,2024-01-13,correctivo,bueno,regular,5241064,preventivo,comentario sobre el mantenimiento 51
mnt-00052,2024-04-01,emergencia,bueno,malo,9157760,preventivo,comentario sobre el mantenimiento 52
mnt-00053,2024-04-27,emergencia,regular,regular,21140,preventivo,comentario sobre el mantenimiento 53
mnt-00054,2024-06-09,emergencia,bueno,bueno,24703,preventivo,comentario sobre el mantenimiento 54
mnt-00055,2024-09-23,emergencia,malo,malo,59353,queja_usuario,comentario sobre el mantenimiento 55
mnt-00056,2023-09-11,preventivo,malo,malo,6878766,queja_usuario,comentario sobre el mantenimiento 56
mnt-00057,2024-05-26,emergencia,malo,bueno,4985742,preventivo,comentario sobre el mantenimiento 57
mnt-00058,2024-07-23,emergencia,regular,malo,21681,preventivo,comentario sobre el mantenimiento 58
mnt-00059,2024-01-18,preventivo,malo,regular,21688,queja_usuario,comentario sobre el mantenimiento 59
mnt-00060,2024-08-01,correctivo,malo,regular,9389678,queja_usuario,comentario sobre el mantenimiento 60
mnt-00061,2024-03-08,preventivo,bueno,malo,9129831,queja_usuario,comentario sobre el mantenimiento 61
mnt-00062,2024-03-11,preventivo,bueno,malo,25588,preventivo,comentario sobre el mantenimiento 62
mnt-00063,2024-04-04,preventivo,bueno,bueno,59771,preventivo,comentario sobre el mantenimiento 63
mnt-00064,2023-10-20,correctivo,regular,bueno,25029,queja_usuario,comentario sobre el mantenimiento 64
mnt-00065,2024-05-15,correctivo,malo,malo,3580731,queja_usuario,comentario sobre el mantenimiento 65
mnt-00066,2024-07-27,preventivo,regular,malo,4750002,queja_usuario,comentario sobre el mantenimiento 66
mnt-00067,2024-02-27,preventivo,malo,bueno,21092,preventivo,comentario sobre el mantenimiento 67
mnt-00068,2024-01-08,emergencia,bueno,malo,7872672,queja_usuario,comentario sobre el mantenimiento 68
mnt-00069,2023-11-16,emergencia,bueno,malo,21339,queja_usuario,comentario sobre el mantenimiento 69
mnt-00070,2024-09-28,preventivo,regular,bueno,3573457,queja_usuario,comentario sobre el mantenimiento 70
mnt-00071,2024-03-25,preventivo,malo,malo,59163,queja_usuario,comentario sobre el mantenimiento 71
mnt-00072,2023-10-28,emergencia,regular,bueno,59925,preventivo,comentario sobre el mantenimiento 72
mnt-00073,2024-03-24,correctivo,regular,bueno,33727,queja_usuario,comentario sobre el mantenimiento 73
mnt-00074,2024-02-07,correctivo,malo,malo,9397139,preventivo,comentario sobre el mantenimiento 74
mnt-00075,2024-05-18,correctivo,malo,regular,25630,queja_usuario,comentario sobre el mantenimiento 75
mnt-00076,2024-06-25,emergencia,regular,regular,52881,queja_usuario,comentario sobre el mantenimiento 76
mnt-00077,2024-05-31,emergencia,regular,bueno,32918,preventivo,comentario sobre el mantenimiento 77
mnt-00078,2024-03-19,preventivo,bueno,bueno,25696,queja_usuario,comentario sobre el mantenimiento 78
mnt-00079,2024-04-25,correctivo,bueno,malo,32726,preventivo,comentario sobre el mantenimiento 79
mnt-00080,2024-05-22,correctivo,regular,malo,9492978,preventivo,comentario sobre el mantenimiento 80
mnt-00081,2023-10-28,preventivo,malo,malo,58942,queja_usuario,comentario sobre el mantenimiento 81
mnt-00082,2024-10-04,emergencia,regular,regular,58669,queja_usuario,comentario sobre el mantenimiento 82
mnt-00083,2024-09-13,emergencia,bueno,regular,3568984,queja_usuario,comentario sobre el mantenimiento 83
mnt-00084,2024-01-23,correctivo,bueno,regular,8820187,preventivo,comentario sobre el mantenimiento 84
mnt-00085,2023-11-08,preventivo,regular,bueno,58807,preventivo,comentario sobre el mantenimiento 85
mnt-00086,2024-11-10,preventivo,malo,malo,58331,preventivo,comentario sobre el mantenimiento 86
mnt-00087,2024-09-25,preventivo,regular,bueno,20243,preventivo,comentario sobre el mantenimiento 87
mnt-00088,2024-06-14,preventivo,malo,regular,9177751,queja_usuario,comentario sobre el mantenimiento 88
mnt-00089,2024-01-19,emergencia,regular,bueno,4992011,queja_usuario,comentario sobre el mantenimiento 89
mnt-00090,2023-12-13,correctivo,bueno,regular,4988363,preventivo,comentario sobre el mantenimiento 90
mnt-00091,2023-10-21,emergencia,bueno,malo,33142,queja_usuario,comentario sobre el mantenimiento 91
mnt-00092,2024-02-04,correctivo,malo,bueno,60137,queja_usuario,comentario sobre el mantenimiento 92
mnt-00093,2024-06-21,emergencia,regular,bueno,5025124,preventivo,comentario sobre el mantenimiento 93
mnt-00094,2024-01-19,emergencia,regular,malo,59883,queja_usuario,comentario sobre el mantenimiento 94
mnt-00095,2024-02-16,emergencia,malo,bueno,34743,preventivo,comentario sobre el mantenimiento 95
mnt-00096,2023-10-28,preventivo,regular,malo,7895400,preventivo,comentario sobre el mantenimiento 96
mnt-00097,2024-10-07,emergencia,malo,bueno,8817614,preventivo,comentario sobre el mantenimiento 97
mnt-00098,2024-05-10,emergencia,regular,malo,7672874,preventivo,comentario sobre el mantenimiento 98
mnt-00099,2024-04-03,correctivo,regular,regular,7588210,queja_usuario,comentario sobre el mantenimiento 99
mnt-00100,2024-01-26,correctivo,bueno,regular,60020,queja_usuario,comentario sobre el mantenimiento 100
mnt-00101,2024-06-23,emergencia,regular,bueno,5174671,queja_usuario,comentario sobre el mantenimiento 101
mnt-00102,2024-03-08,emergencia,regular,regular,58499,preventivo,comentario sobre el mantenimiento 102
mnt-00103,2024-09-27,preventivo,malo,malo,35152,preventivo,comentario sobre el mantenimiento 103
mnt-00104,2024-06-17,correctivo,malo,regular,59016,preventivo,comentario sobre el mantenimiento 104
mnt-00105,2024-04-07,emergencia,regular,malo,3568696,preventivo,comentario sobre el mantenimiento 105
mnt-00106,2023-12-23,correctivo,regular,malo,21125,preventivo,comentario sobre el mantenimiento 106
mnt-00107,2024-06-03,correctivo,regular,bueno,5241059,queja_usuario,comentario sobre el mantenimiento 107
mnt-00108,2024-08-07,emergencia,regular,regular,8941054,queja_usuario,comentario sobre el mantenimiento 108
mnt-00109,2023-12-12,preventivo,bueno,bueno,5658100,preventivo,comentario sobre el mantenimiento 109
mnt-00110,2024-01-25,emergencia,malo,bueno,5657902,preventivo,comentario sobre el mantenimiento 110
mnt-00111,2024-05-30,correctivo,regular,regular,25074,preventivo,comentario sobre el mantenimiento 111
mnt-00112,2024-07-07,correctivo,malo,bueno,59359,queja_usuario,comentario sobre el mantenimiento 112
mnt-00113,2024-02-03,emergencia,malo,bueno,20749,preventivo,comentario sobre el mantenimiento 113
mnt-00114,2024-02-11,preventivo,malo,bueno,6878958,preventivo,comentario sobre el mantenimiento 114
mnt-00115,2024-09-10,correctivo,malo,regular,58490,queja_usuario,comentario sobre el mantenimiento 115
mnt-00116,2024-04-04,emergencia,malo,bueno,7934559,preventivo,comentario sobre el mantenimiento 116
mnt-00117,2023-12-16,emergencia,bueno,bueno,6761239,preventivo,comentario sobre el mantenimiento 117
mnt-00118,2024-07-18,preventivo,malo,regular,6778176,queja_usuario,comentario sobre el mantenimiento 118
mnt-00119,2023-11-09,preventivo,regular,malo,9048980,queja_usuario,comentario sobre el mantenimiento 119
mnt-00120,2024-10-10,emergencia,regular,regular,6878761,queja_usuario,comentario sobre el mantenimiento 120
mnt-00121,2024-01-21,preventivo,malo,regular,19718,preventivo,comentario sobre el mantenimiento 121
mnt-00122,2024-03-31,preventivo,malo,bueno,4988105,queja_usuario,comentario sobre el mantenimiento 122
mnt-00123,2024-01-30,correctivo,regular,malo,21087,queja_usuario,comentario sobre el mantenimiento 123
mnt-00124,2023-10-18,correctivo,regular,malo,21536,preventivo,comentario sobre el mantenimiento 124
mnt-00125,2024-09-24,emergencia,regular,regular,20046,queja_usuario,comentario sobre el mantenimiento 125
mnt-00126,2023-11-15,correctivo,bueno,regular,21007,preventivo,comentario sobre el mantenimiento 126
mnt-00127,2023-12-06,correctivo,malo,regular,19426,preventivo,comentario sobre el mantenimiento 127
mnt-00128,2024-02-11,preventivo,bueno,malo,20187,preventivo,comentario sobre el mantenimiento 128
mnt-00129,2024-09-06,preventivo,malo,bueno,7927325,preventivo,comentario sobre el mantenimiento 129
mnt-00130,2024-07-18,preventivo,malo,malo,22445,queja_usuario,comentario sobre el mantenimiento 130
mnt-00131,2024-08-28,emergencia,regular,regular,33208,queja_usuario,comentario sobre el mantenimiento 131
mnt-00132,2024-09-10,preventivo,regular,regular,5249944,preventivo,comentario sobre el mantenimiento 132
mnt-00133,2024-07-22,correctivo,bueno,regular,20585,queja_usuario,comentario sobre el mantenimiento 133
mnt-00134,2024-05-15,emergencia,regular,bueno,8971301,queja_usuario,comentario sobre el mantenimiento 134
mnt-00135,2023-12-17,preventivo,bueno,bueno,9177931,queja_usuario,comentario sobre el mantenimiento 135
mnt-00136,2024-04-14,correctivo,regular,malo,5240867,preventivo,comentario sobre el mantenimiento 136
mnt-00137,2024-01-01,preventivo,regular,bueno,58294,preventivo,comentario sobre el mantenimiento 137
mnt-00138,2024-01-08,preventivo,malo,bueno,60060,preventivo,comentario sobre el mantenimiento 138
mnt-00139,2024-06-14,preventivo,malo,regular,7792012,queja_usuario,
mnt-00140,2024-01-30,preventivo,regular,bueno,33703,preventivo,comentario sobre el mantenimiento 140
mnt-00141,2023-11-16,correctivo,bueno,bueno,7802478,preventivo,comentario sobre el mantenimiento 141
mnt-00142,2023-11-02,preventivo,regular,bueno,24922,queja_usuario,comentario sobre el mantenimiento 142
mnt-00143,2024-03-18,correctivo,bueno,malo,33593,preventivo,comentario sobre el mantenimiento 143
mnt-00144,2024-01-29,emergencia,malo,regular,8987321,queja_usuario,comentario sobre el mantenimiento 144
mnt-00145,2024-09-25,emergencia,bueno,bueno,9493030,queja_usuario,comentario sobre el mantenimiento 145
mnt-00146,2024-02-23,preventivo,malo,regular,7240162,preventivo,comentario sobre el mantenimiento 146
mnt-00147,2024-07-22,preventivo,malo,bueno,21861,preventivo,comentario sobre el mantenimiento 147
mnt-00148,2024-02-15,emergencia,regular,regular,4737960,queja_usuario,comentario sobre el mantenimiento 148
mnt-00149,2024-08-12,preventivo,regular,regular,5231453,queja_usuario,comentario sobre el mantenimiento 149
mnt-00150,2024-09-08,preventivo,regular,regular,24872,queja_usuario,comentario sobre el mantenimiento 150
mnt-00151,2024-01-19,emergencia,bueno,bueno,33550,queja_usuario,comentario sobre el mantenimiento 151
mnt-00152,2024-10-06,preventivo,bueno,bueno,58615,preventivo,comentario sobre el mantenimiento 152
mnt-00153,2023-11-28,emergencia,malo,malo,24746,queja_usuario,comentario sobre el mantenimiento 153
mnt-00154,2024-02-24,preventivo,regular,regular,9295465,preventivo,comentario sobre el mantenimiento 154
mnt-00155,2024-01-28,correctivo,malo,bueno,9184890,preventivo,comentario sobre el mantenimiento 155
mnt-00156,2023-11-08,preventivo,malo,regular,4960333,queja_usuario,comentario sobre el mantenimiento 156
mnt-00157,2024-05-08,emergencia,bueno,malo,4730882,preventivo,comentario sobre el mantenimiento 157
mnt-00158,2024-02-07,correctivo,regular,bueno,58788,preventivo,comentario sobre el mantenimiento 158
mnt-00159,2024-02-06,correctivo,malo,regular,18846,preventivo,comentario sobre el mantenimiento 159
mnt-00160,2024-01-21,preventivo,regular,bueno,33976,preventivo,comentario sobre el mantenimiento 160
mnt-00161,2024-03-28,preventivo,malo,malo,19533,queja_usuario,comentario sobre el mantenimiento 161
mnt-00162,2024-06-22,emergencia,regular,malo,4987839,queja_usuario,comentario sobre el mantenimiento 162
mnt-00163,2023-06-11,correctivo,bueno,malo,4987794,queja_usuario,comentario sobre el mantenimiento 163
mnt-00164,2024-05-01,correctivo,bueno,malo,24788,queja_usuario,comentario sobre el mantenimiento 164
mnt-00165,2024-08-03,emergencia,malo,malo,3568750,preventivo,comentario sobre el mantenimiento 165
mnt-00166,2024-01-09,correctivo,regular,bueno,5658962,preventivo,comentario sobre el mantenimiento 166
mnt-00167,2024-06-07,correctivo,bueno,bueno,3994638,queja_usuario,comentario sobre el mantenimiento 167
mnt-00168,2023-01-12,correctivo,regular,bueno,19215,queja_usuario,comentario sobre el mantenimiento 168
mnt-00169,2024-04-16,correctivo,bueno,regular,33282,preventivo,comentario sobre el mantenimiento 169
mnt-00170,2024-01-29,correctivo,bueno,regular,59776,preventivo,comentario sobre el mantenimiento 170
mnt-00171,2024-03-05,preventivo,bueno,bueno,5599622,queja_usuario,comentario sobre el mantenimiento 171
mnt-00172,2024-08-16,preventivo,malo,regular,9470338,queja_usuario,comentario sobre el mantenimiento 172
mnt-00173,2023-11-13,emergencia,regular,malo,7889390,queja_usuario,comentario sobre el mantenimiento 173
mnt-00174,2024-09-16,emergencia,malo,bueno,21844,queja_usuario,comentario sobre el mantenimiento 174
mnt-00175,2024-08-23,correctivo,regular,malo,5658594,preventivo,comentario sobre el mantenimiento 175
mnt-00176,2024-09-23,correctivo,regular,regular,20168,queja_usuario,comentario sobre el mantenimiento 176
mnt-00177,2024-05-09,emergencia,malo,malo,4737934,preventivo,comentario sobre el mantenimiento 177
mnt-00178,2024-10-05,preventivo,malo,malo,25837,queja_usuario,comentario sobre el mantenimiento 178
mnt-00179,2024-08-27,preventivo,regular,malo,7794412,queja_usuario,comentario sobre el mantenimiento 179
mnt-00180,2024-03-30,correctivo,bueno,bueno,5173936,preventivo,comentario sobre el mantenimiento 180
mnt-00181,2023-12-05,emergencia,bueno,regular,8804525,preventivo,comentario sobre el mantenimiento 181
mnt-00182,2024-09-16,correctivo,malo,regular,35183,preventivo,comentario sobre el mantenimiento 182
mnt-00183,2023-10-18,preventivo,regular,bueno,21845,queja_usuario,comentario sobre el mantenimiento 183
mnt-00184,2024-07-25,preventivo,regular,regular,58391,queja_usuario,comentario sobre el mantenimiento 184
mnt-00185,2024-03-07,emergencia,regular,bueno,4737877,queja_usuario,comentario sobre el mantenimiento 185
mnt-00186,2023-11-13,preventivo,regular,regular,7928440,preventivo,comentario sobre el mantenimiento 186
mnt-00187,2024-04-02,preventivo,regular,regular,9284743,preventivo,comentario sobre el mantenimiento 187
mnt-00188,2024-01-03,preventivo,regular,regular,7526687,preventivo,comentario sobre el mantenimiento 188
mnt-00189,2023-11-19,emergencia,regular,bueno,4750008,preventivo,comentario sobre el mantenimiento 189
mnt-00190,2024-08-29,correctivo,regular,regular,53208,queja_usuario,comentario sobre el mantenimiento 190
mnt-00191,2023-12-31,emergencia,regular,bueno,3576050,queja_usuario,comentario sobre el mantenimiento 191
mnt-00192,2024-05-04,emergencia,malo,malo,3575561,preventivo,comentario sobre el mantenimiento 192
mnt-00193,2024-05-04,preventivo,malo,malo,22438,preventivo,comentario sobre el mantenimiento 193
mnt-00194,2024-01-22,emergencia,regular,malo,4795148,preventivo,comentario sobre el mantenimiento 194
mnt-00195,2024-09-05,preventivo,regular,bueno,19838,queja_usuario,comentario sobre el mantenimiento 195
mnt-00196,2024-05-03,emergencia,bueno,malo,5602454,preventivo,comentario sobre el mantenimiento 196
mnt-00197,2023-11-20,correctivo,bueno,regular,33170,preventivo,comentario sobre el mantenimiento 197
mnt-00198,2024-01-08,correctivo,bueno,regular,5245394,preventivo,comentario sobre el mantenimiento 198
mnt-00199,2024-10-04,preventivo,regular,bueno,5220803,preventivo,comentario sobre el mantenimiento 199
mnt-00200,2024-10-11,emergencia,malo,bueno,19792,queja_usuario,comentario sobre el mantenimiento 200
mnt-00201,2024-05-01,preventivo,regular,bueno,58062,preventivo,comentario sobre el mantenimiento 201
mnt-00202,2024-04-29,preventivo,regular,malo,7794492,preventivo,comentario sobre el mantenimiento 202
mnt-00203,2023-12-30,preventivo,regular,regular,8978410,preventivo,comentario sobre el mantenimiento 203
mnt-00204,2024-06-25,preventivo,regular,bueno,59356,queja_usuario,comentario sobre el mantenimiento 204
mnt-00205,2024-08-18,preventivo,regular,malo,3530725,preventivo,comentario sobre el mantenimiento 205
mnt-00206,2024-07-14,preventivo,bueno,regular,5237088,queja_usuario,comentario sobre el mantenimiento 206
mnt-00207,2024-03-08,emergencia,regular,malo,20095,preventivo,comentario sobre el mantenimiento 207
mnt-00208,2024-03-20,preventivo,regular,bueno,7896549,preventivo,comentario sobre el mantenimiento 208
mnt-00209,2024-05-08,emergencia,bueno,malo,9291545,preventivo,comentario sobre el mantenimiento 209
mnt-00210,2023-10-17,preventivo,malo,bueno,22165,queja_usuario,comentario sobre el mantenimiento 210
mnt-00211,2023-10-21,correctivo,bueno,regular,3577005,queja_usuario,comentario sobre el mantenimiento 211
mnt-00212,2024-06-18,emergencia,bueno,malo,35117,preventivo,comentario sobre el mantenimiento 212
mnt-00213,2023-12-27,preventivo,malo,malo,4984514,preventivo,comentario sobre el mantenimiento 213
mnt-00214,2024-02-21,emergencia,bueno,regular,19933,preventivo,comentario sobre el mantenimiento 214
mnt-00215,2023-11-14,correctivo,malo,malo,7168585,queja_usuario,comentario sobre el mantenimiento 215
mnt-00216,2024-09-28,preventivo,bueno,regular,21289,preventivo,comentario sobre el mantenimiento 216
mnt-00217,2024-02-20,preventivo,malo,regular,6777775,queja_usuario,comentario sobre el mantenimiento 217
mnt-00218,2024-02-04,preventivo,malo,malo,4731212,preventivo,comentario sobre el mantenimiento 218
mnt-00219,2023-11-18,preventivo,bueno,regular,7125615,preventivo,comentario sobre el mantenimiento 219
mnt-00220,2024-01-08,correctivo,bueno,bueno,7126931,queja_usuario,comentario sobre el mantenimiento 220
mnt-00221,2024-06-17,correctivo,regular,bueno,33821,queja_usuario,comentario sobre el mantenimiento 221
mnt-00222,2023-10-18,preventivo,regular,regular,9424313,preventivo,comentario sobre el mantenimiento 222
mnt-00223,2024-07-19,emergencia,bueno,regular,5238914,preventivo,comentario sobre el mantenimiento 223
mnt-00224,2024-07-10,emergencia,regular,bueno,21070,queja_usuario,comentario sobre el mantenimiento 224
mnt-00225,2024-06-09,preventivo,malo,bueno,58422,preventivo,comentario sobre el mantenimiento 225
mnt-00226,2024-10-01,preventivo,bueno,regular,20999,queja_usuario,comentario sobre el mantenimiento 226
mnt-00227,2024-08-13,emergencia,bueno,bueno,59451,queja_usuario,comentario sobre el mantenimiento 227
mnt-00228,2024-03-31,preventivo,regular,bueno,7903920,preventivo,comentario sobre el mantenimiento 228
mnt-00229,2024-03-28,correctivo,bueno,bueno,9129847,queja_usuario,comentario sobre el mantenimiento 229
mnt-00230,2024-08-20,emergencia,malo,bueno,3963368,preventivo,comentario sobre el mantenimiento 230
mnt-00231,2023-12-18,correctivo,regular,bueno,4963385,preventivo,comentario sobre el mantenimiento 231
mnt-00232,2024-06-02,correctivo,regular,regular,19304,preventivo,comentario sobre el mantenimiento 232
mnt-00233,2024-05-14,emergencia,bueno,regular,3569328,queja_usuario,comentario sobre el mantenimiento 233
mnt-00234,2024-09-20,emergencia,malo,regular,58975,queja_usuario,comentario sobre el mantenimiento 234
mnt-00235,2023-10-15,preventivo,malo,regular,58315,queja_usuario,comentario sobre el mantenimiento 235
mnt-00236,2024-07-08,preventivo,regular,bueno,33091,queja_usuario,comentario sobre el mantenimiento 236
mnt-00237,2024-06-06,correctivo,malo,regular,22475,preventivo,comentario sobre el mantenimiento 237
mnt-00238,2024-04-22,emergencia,bueno,regular,57987,preventivo,comentario sobre el mantenimiento 238
mnt-00239,2024-08-27,emergencia,malo,regular,3567922,preventivo,comentario sobre el mantenimiento 239
mnt-00240,2023-11-26,emergencia,regular,malo,3743757,queja_usuario,comentario sobre el mantenimiento 240
mnt-00241,2024-03-27,correctivo,bueno,malo,3531311,queja_usuario,comentario sobre el mantenimiento 241
mnt-00242,2024-03-02,correctivo,bueno,malo,7927335,queja_usuario,comentario sobre el mantenimiento 242
mnt-00243,2024-02-14,correctivo,bueno,malo,9435347,queja_usuario,comentario sobre el mantenimiento 243
mnt-00244,2024-01-28,preventivo,regular,regular,33919,queja_usuario,comentario sobre el mantenimiento 244
mnt-00245,2024-02-12,emergencia,bueno,bueno,24947,preventivo,comentario sobre el mantenimiento 245
mnt-00246,2024-03-23,correctivo,malo,malo,5492837,preventivo,comentario sobre el mantenimiento 246
mnt-00247,2024-08-16,correctivo,malo,regular,32734,queja_usuario,comentario sobre el mantenimiento 247
mnt-00248,2024-01-18,correctivo,malo,bueno,5128756,preventivo,comentario sobre el mantenimiento 248
mnt-00249,2024-08-28,preventivo,bueno,regular,9294740,queja_usuario,comentario sobre el mantenimiento 249
mnt-00250,2024-04-04,emergencia,regular,regular,33316,queja_usuario,comentario sobre el mantenimiento 250
mnt-00251,2024-04-18,emergencia,malo,regular,8891693,preventivo,comentario sobre el mantenimiento 251
mnt-00252,2023-10-25,preventivo,bueno,bueno,9191209,queja_usuario,comentario sobre el mantenimiento 252
mnt-00253,2024-09-19,preventivo,regular,bueno,9049856,preventivo,comentario sobre el mantenimiento 253
mnt-00254,2023-11-10,correctivo,malo,regular,33764,queja_usuario,comentario sobre el mantenimiento 254
mnt-00255,2024-07-14,preventivo,regular,regular,3568326,queja_usuario,comentario sobre el mantenimiento 255
mnt-00256,2024-01-01,correctivo,malo,bueno,5659370,queja_usuario,comentario sobre el mantenimiento 256
mnt-00257,2024-11-02,correctivo,regular,bueno,5195545,queja_usuario,comentario sobre el mantenimiento 257
mnt-00258,2024-09-11,correctivo,regular,malo,33658,queja_usuario,comentario sobre el mantenimiento 258
mnt-00259,2024-07-23,emergencia,bueno,regular,4793075,preventivo,comentario sobre el mantenimiento 259
mnt-00260,2024-03-30,emergencia,bueno,malo,19355,preventivo,comentario sobre el mantenimiento 260
mnt-00261,2024-01-30,correctivo,regular,malo,9176693,preventivo,comentario sobre el mantenimiento 261
mnt-00262,2024-05-04,correctivo,bueno,bueno,7850128,queja_usuario,comentario sobre el mantenimiento 262
mnt-00263,2024-05-15,emergencia,regular,regular,7603085,preventivo,comentario sobre el mantenimiento 263
mnt-00264,2024-08-20,emergencia,malo,bueno,32492,preventivo,comentario sobre el mantenimiento 264
mnt-00265,2024-04-16,correctivo,regular,bueno,7761352,preventivo,comentario sobre el mantenimiento 265
mnt-00266,2024-01-21,preventivo,regular,bueno,5659593,preventivo,comentario sobre el mantenimiento 266
mnt-00267,2024-05-29,preventivo,bueno,regular,9288611,preventivo,comentario sobre el mantenimiento 267
mnt-00268,2023-12-13,emergencia,bueno,regular,21559,preventivo,comentario sobre el mantenimiento 268
mnt-00269,2023-11-14,preventivo,regular,regular,5492492,preventivo,comentario sobre el mantenimiento 269
mnt-00270,2024-09-26,emergencia,malo,bueno,25064,preventivo,comentario sobre el mantenimiento 270
mnt-00271,2024-05-26,preventivo,regular,regular,8803494,queja_usuario,comentario sobre el mantenimiento 271
mnt-00272,2024-01-28,correctivo,bueno,regular,3532743,preventivo,comentario sobre el mantenimiento 272
